num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate,fitness
6,58,sigmoid,92170,155,0.0058413865758129,20
6,89,sin,62350,66,1.608306656787021e-05,1
8,93,sin,82939,176,3.0744766357443226e-05,2
5,98,sin,99643,52,6.44111201758058e-05,3
6,69,sin,91782,140,0.0028679503523373,4
8,66,sin,82718,159,9.767973293804016e-05,5
5,66,sin,55987,92,0.0003019565486771,6
6,95,sin,53696,75,6.818845051629235e-05,7
6,72,sin,80618,62,0.000102548447145,8
6,50,sin,70958,99,5.467797077040673e-05,9
6,36,sin,96020,100,2.277224220316469e-05,10
8,74,sin,54632,80,5.115239074110829e-05,11
4,54,sin,75805,65,3.857878400561781e-05,12
6,68,sin,64829,134,0.0001461722505201,13
7,71,sin,95512,168,0.0001518907624457,14
7,93,sin,95034,43,0.0001429669183704,15
7,76,sin,53554,55,2.104610441803877e-05,16
9,75,sin,65888,199,1.356270063738419e-05,17
8,64,sin,54805,86,1.0053312122086064e-05,18
4,78,sin,88624,179,0.0016724757527198,19
2,44,sin,96536,55,0.0846876828516916,20
